"@timestamp","src_ip",realm,"auth_user","response_code","http_method","bytes_from_client","bytes_to_client","media_type",url
"Mar 17, 2021 @ 15:19:33.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,390,"609,314",text/html,https://yandex.ru/search/?clid=2186620&text=%D1%81%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BE%20%D0%BD%D0%B5%D1%82%D1%80%D1%83%D0%B4%D0%BE%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1%D0%BD%D0%BE%D1%81%D1%82%D0%B8%20%D0%B3%D0%BE%D1%81%D1%83%D1%81%D0%BB%D1%83%D0%B3%D0%B8&lr=213&redircnt=1678115973.1
"Mar 17, 2021 @ 08:58:15.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,403,GET,"7,480","3,164",,http://ciscobinary.openh264.org/openh264-win32-2e1774ab6dc6c43debb0b5b628bdf122a391d521.zip
"Mar 17, 2021 @ 10:44:34.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,500,CONNECT,0,0,,rum8.perf.linkedin.com:443
"Mar 17, 2021 @ 07:19:24.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,403,GET,"7,480","3,164",,http://ciscobinary.openh264.org/openh264-win32-2e1774ab6dc6c43debb0b5b628bdf122a391d521.zip
"Mar 17, 2021 @ 11:13:47.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,88,"8,759",text/html,https://all-routes.ru/offline.html
"Mar 17, 2021 @ 11:12:39.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,144,927,text/plain,https://yandex.ru/maps/prefetch.txt
"Mar 17, 2021 @ 10:52:24.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,141,"1,781",text/html,https://vp.rambler.ru/player/1.78.0/player.html
"Mar 17, 2021 @ 10:52:24.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,62,"1,781",text/html,https://vp.rambler.ru/player/1.78.0/player.html
"Mar 17, 2021 @ 10:52:24.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,821,"4,889",text/html,https://id.gazeta.ru/rambler-id-helper/1.10.1/storage.html
"Mar 17, 2021 @ 09:20:25.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,200,GET,278,"530,569",text/html,https://yandex.ru/search/?clid=2186620&text=%D0%9C%D0%B0%D0%B4%D0%BD%D0%B8%20%D0%B7%D0%B0%D1%84%D1%84%D0%B5%D1%80&lr=213&redircnt=1677748824.1
"Mar 17, 2021 @ 09:20:24.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,302,GET,193,375,,https://yandex.ru/search?clid=2186620&text=%D0%9C%D0%B0%D0%B4%D0%BD%D0%B8+%D0%B7%D0%B0%D1%84%D1%84%D0%B5%D1%80
"Mar 17, 2021 @ 09:16:10.000","10.xxx.xxx.xxx",SomeRealm,imxxxxxxxx,302,GET,231,418,,https://yandex.ru/search?clid=2186620&text=%D0%BC%D0%B0%D0%B4%D0%BD%D0%B8+%D1%8F%D0%BD%D0%B8%D1%81+%D0%B7%D0%B0%D1%84%D1%84%D0%B5%D1%80%D0%BE%D0%B2%D0%B8%D1%87
